Location ID,Date,Mean temperature (°C),Max. temperature (°C),Min. temperature (°C),Perceived mean temperature (°C),Perceived max. temperature (°C),Perceived min. temperature (°C),Max. wind speed (km/h),Max. wind gusts (km/h),Shortwave radiation sum (MJ/m2),Dominant wind direction (°),Reference evapotranspiration (mm),Daylight duration (s),Sunshine duration (s),Precipitation sum (mm),Snowfall sum (mm),Precipitation hours (h),Rain sum (mm)
1,2010-08-31,22.1,27.7,16.5,20.0,25.0,15.3,16.5,39.6,23.53,1,5.84,47472.02,43451.95,0.0,0.0,0.0,0.0
1,2010-09-01,21.2,26.6,14.8,20.5,26.1,13.7,12.1,29.2,21.87,208,4.67,47311.9,43216.59,0.0,0.0,0.0,0.0
1,2010-09-02,21.2,26.9,14.5,21.2,26.9,14.7,12.5,29.9,21.72,165,4.43,47151.92,43079.53,0.0,0.0,0.0,0.0
1,2010-09-03,22.3,28.1,15.9,22.6,28.4,15.9,13.5,33.5,17.08,322,3.84,46991.98,39988.45,0.0,0.0,0.0,0.0
1,2010-09-04,22.7,27.8,16.8,24.1,28.7,17.4,12.6,28.4,20.28,267,4.15,46830.99,42867.91,0.0,0.0,0.0,0.0
1,2010-09-05,23.3,28.1,18.2,24.8,28.6,20.2,14.5,32.8,19.96,227,4.17,46668.86,42808.29,0.0,0.0,0.0,0.0
1,2010-09-06,22.3,26.5,17.3,23.8,27.6,18.6,13.0,30.2,17.11,169,3.53,46505.71,40874.15,1.1,0.0,6.0,1.1
1,2010-09-07,23.4,27.5,18.7,23.4,27.4,19.9,18.0,39.2,18.8,153,4.73,46341.64,41035.85,1.9,0.0,3.0,1.9
1,2010-09-08,22.2,24.9,20.5,23.2,26.7,19.7,24.3,51.5,10.05,169,2.4,46176.77,17903.76,32.5,0.0,19.0,32.5
1,2010-09-09,20.9,23.6,18.1,21.9,23.4,19.0,15.0,29.5,15.02,172,2.94,46011.19,39422.94,0.0,0.0,0.0,0.0
1,2010-09-10,19.9,24.8,16.0,19.4,24.9,16.1,19.9,40.3,17.96,1,3.95,45845.03,36764.35,1.1,0.0,2.0,1.1
1,2010-09-11,21.6,27.4,17.2,20.3,26.2,15.3,18.0,36.7,17.51,1,4.61,45678.38,42438.28,0.0,0.0,0.0,0.0
1,2010-09-12,21.2,26.7,16.4,21.4,27.5,16.4,11.2,20.2,19.57,4,4.07,45511.34,42273.38,0.0,0.0,0.0,0.0
1,2010-09-13,20.6,25.7,15.5,21.7,26.9,16.1,9.7,22.0,19.61,162,3.72,45344.01,42107.96,0.1,0.0,1.0,0.1
1,2010-09-14,21.4,26.7,16.8,22.5,27.8,17.7,10.5,25.2,17.43,15,3.45,45176.5,40431.49,0.3,0.0,2.0,0.3
1,2010-09-15,20.7,25.0,16.1,21.6,26.1,16.4,12.5,28.1,16.63,166,3.27,45008.91,41775.95,0.0,0.0,0.0,0.0
1,2010-09-16,20.9,24.5,16.6,21.9,24.5,17.9,14.7,28.8,14.42,172,2.95,44841.33,38309.04,0.0,0.0,0.0,0.0
1,2010-09-17,22.0,25.6,18.6,22.6,25.0,20.1,20.7,42.1,15.24,161,3.39,44673.87,36468.15,0.0,0.0,0.0,0.0
1,2010-09-18,23.1,25.5,21.3,23.7,25.9,22.1,25.0,46.4,10.92,154,2.87,44506.61,28787.18,0.7,0.0,4.0,0.7
1,2010-09-19,20.7,22.8,17.6,22.2,25.0,18.2,20.9,44.6,10.2,237,2.0,44339.67,29836.44,8.1,0.0,15.0,8.1
1,2010-09-20,20.1,24.2,15.4,21.1,25.8,15.5,9.4,19.8,17.06,2,3.1,44173.13,40943.66,0.0,0.0,0.0,0.0
1,2010-09-21,20.3,24.0,16.0,22.0,26.0,17.2,8.7,21.6,14.72,337,2.75,44007.1,36322.27,1.0,0.0,3.0,1.0
1,2010-09-22,21.0,25.1,17.9,22.2,25.5,19.3,8.6,17.3,14.95,306,2.91,43841.66,37808.77,0.0,0.0,0.0,0.0
1,2010-09-23,20.2,25.3,15.5,21.3,26.9,15.9,11.9,24.5,16.64,156,3.15,43676.72,40254.4,0.0,0.0,0.0,0.0
1,2010-09-24,18.4,22.2,16.0,19.4,22.3,17.0,13.9,33.8,7.77,129,1.5,43511.13,13410.43,6.9,0.0,13.0,6.9
1,2010-09-25,18.4,21.4,15.6,19.4,22.4,16.5,10.9,28.4,12.12,248,2.14,43344.8,34878.43,2.9,0.0,7.0,2.9
1,2010-09-26,17.2,20.2,13.8,16.5,20.1,13.7,20.2,41.4,12.81,195,2.48,43177.83,38624.52,0.8,0.0,1.0,0.8
1,2010-09-27,17.3,18.8,15.9,15.3,16.2,14.2,24.2,46.8,9.84,202,2.58,43010.34,28735.71,0.1,0.0,1.0,0.1
